Country,Value,Year,unit
Egypt,191,2001,thousand metric tons
France,461.9,2001,thousand metric tons
Germany,651.592,2001,thousand metric tons
Ghana,144,2001,thousand metric tons
Greece,165.581,2001,thousand metric tons
Hungary,34,2001,thousand metric tons
Iceland,242.135,2001,thousand metric tons
India,624,2001,thousand metric tons
Indonesia,180,2001,thousand metric tons
Iran,146,2001,thousand metric tons
Italy,187.1,2001,thousand metric tons
Japan,6.632,2001,thousand metric tons
Mexico,51.5,2001,thousand metric tons
Mozambique,270,2001,thousand metric tons
Netherlands,294.1,2001,thousand metric tons
New Zealand,322.3,2001,thousand metric tons
Norway,1067.6,2001,thousand metric tons
Poland,44.723,2001,thousand metric tons
Romania,181.831,2001,thousand metric tons
Russian Federation,3300,2001,thousand metric tons
Serbia and Montenegro,100.176,2001,thousand metric tons
Slovakia,133.672,2001,thousand metric tons
Slovenia,76.632,2001,thousand metric tons
South Africa,662.497,2001,thousand metric tons
Spain,376.4,2001,thousand metric tons
Sweden,101.8,2001,thousand metric tons
Switzerland,36.2,2001,thousand metric tons
Tajikistan,289,2001,thousand metric tons
Turkey,61.73,2001,thousand metric tons
Ukraine,106,2001,thousand metric tons
United Arab Emirates,500,2001,thousand metric tons
United Kingdom,340.8,2001,thousand metric tons
USA,2636.954,2001,thousand metric tons
Venezuela,570.58,2001,thousand metric tons
Argentina,262.394,2000,thousand metric tons
Australia,1769,2000,thousand metric tons
Azerbaijan,NA,2000,thousand metric tons
Bahrain,509.038,2000,thousand metric tons
Bosnia Herzegovina,95,2000,thousand metric tons
Brazil,1277,2000,thousand metric tons
Cameroon,86.384,2000,thousand metric tons
Canada,2373.46,2000,thousand metric tons
China,2800,2000,thousand metric tons
Croatia,15.05,2000,thousand metric tons
Egypt,189,2000,thousand metric tons
France,441.14,2000,thousand metric tons
Germany,643.5,2000,thousand metric tons
Ghana,137,2000,thousand metric tons
Greece,167.507,2000,thousand metric tons
Hungary,33.85,2000,thousand metric tons
Iceland,224,2000,thousand metric tons
India,643.7,2000,thousand metric tons
Indonesia,160,2000,thousand metric tons
Iran,140,2000,thousand metric tons
Italy,189.3,2000,thousand metric tons
Japan,6.536,2000,thousand metric tons
Mexico,61,2000,thousand metric tons
Mozambique,53.8,2000,thousand metric tons
Netherlands,301.7,2000,thousand metric tons
New Zealand,328.4,2000,thousand metric tons
Norway,1025.676,2000,thousand metric tons
Poland,46.941,2000,thousand metric tons
Romania,179.039,2000,thousand metric tons
Russian Federation,3245,2000,thousand metric tons
Serbia and Montenegro,88.151,2000,thousand metric tons
Slovakia,136.753,2000,thousand metric tons
Slovenia,83.8,2000,thousand metric tons
South Africa,673.486,2000,thousand metric tons
Spain,365.7,2000,thousand metric tons
Sweden,100.8,2000,thousand metric tons
Switzerland,35.5,2000,thousand metric tons
Tajikistan,269.2,2000,thousand metric tons
Turkey,61,2000,thousand metric tons
Ukraine,103.6,2000,thousand metric tons
United Arab Emirates,470,2000,thousand metric tons
United Kingdom,305.1,2000,thousand metric tons
USA,3668.438,2000,thousand metric tons
Venezuela,570.87,2000,thousand metric tons
Argentina,206.4,1999,thousand metric tons
Australia,1718.383,1999,thousand metric tons
Bahrain,502.663,1999,thousand metric tons
Bosnia Herzegovina,70,1999,thousand metric tons
Brazil,1249.6,1999,thousand metric tons
Cameroon,90.41,1999,thousand metric tons
Canada,2389.835,1999,thousand metric tons
China,2530,1999,thousand metric tons
Croatia,14.461,1999,thousand metric tons
Egypt,193.319,1999,thousand metric tons
France,455.105,1999,thousand metric tons
Germany,633.8,1999,thousand metric tons
Ghana,104,1999,thousand metric tons
Greece,170.301,1999,thousand metric tons
Hungary,34,1999,thousand metric tons
Iceland,220,1999,thousand metric tons
India,614.4,1999,thousand metric tons
Indonesia,106,1999,thousand metric tons
Iran,137.421,1999,thousand metric tons
Italy,187.281,1999,thousand metric tons
Japan,10.904,1999,thousand metric tons
Mexico,62.736,1999,thousand metric tons
Mozambique,NA,1999,thousand metric tons
Netherlands,286.4,1999,thousand metric tons
New Zealand,326.7,1999,thousand metric tons
Nigeria,16,1999,thousand metric tons
Norway,1020.215,1999,thousand metric tons
Poland,50.974,1999,thousand metric tons
Romania,174.1,1999,thousand metric tons
Russian Federation,3146.232,1999,thousand metric tons
Serbia and Montenegro,72.505,1999,thousand metric tons
Slovakia,109.203,1999,thousand metric tons
Slovenia,77.2,1999,thousand metric tons
South Africa,689.23,1999,thousand metric tons
Spain,363.9,1999,thousand metric tons
Suriname,6,1999,thousand metric tons
Sweden,99.34,1999,thousand metric tons
Switzerland,34.4,1999,thousand metric tons
Tajikistan,229.1,1999,thousand metric tons
Turkey,62,1999,thousand metric tons
Ukraine,115.425,1999,thousand metric tons
United Arab Emirates,440,1999,thousand metric tons
United Kingdom,272.211,1999,thousand metric tons
USA,3778.608,1999,thousand metric tons
Venezuela,570.32,1999,thousand metric tons
Argentina,187,1998,thousand metric tons
Australia,1627,1998,thousand metric tons
Bahrain,501,1998,thousand metric tons
Bosnia Herzegovina,28,1998,thousand metric tons
Brazil,1208,1998,thousand metric tons
Cameroon,82,1998,thousand metric tons
Canada,2374,1998,thousand metric tons
China,2340,1998,thousand metric tons
Croatia,16,1998,thousand metric tons
Egypt,195,1998,thousand metric tons
France,424,1998,thousand metric tons
Germany,612,1998,thousand metric tons
Ghana,56,1998,thousand metric tons
Greece,146,1998,thousand metric tons
Hungary,35,1998,thousand metric tons
Iceland,173,1998,thousand metric tons
India,542,1998,thousand metric tons
Indonesia,133,1998,thousand metric tons
Iran,124,1998,thousand metric tons
Italy,187,1998,thousand metric tons
Japan,16,1998,thousand metric tons
Mexico,62,1998,thousand metric tons
Mozambique,NA,1998,thousand metric tons
Netherlands,264,1998,thousand metric tons
New Zealand,318,1998,thousand metric tons
Nigeria,20,1998,thousand metric tons
Norway,996,1998,thousand metric tons
Poland,54,1998,thousand metric tons
Romania,174,1998,thousand metric tons
Russian Federation,3005,1998,thousand metric tons
Serbia and Montenegro,60,1998,thousand metric tons
Slovakia,108,1998,thousand metric tons
Slovenia,74,1998,thousand metric tons
South Africa,677,1998,thousand metric tons
Spain,362,1998,thousand metric tons
Suriname,29,1998,thousand metric tons
Sweden,96,1998,thousand metric tons
Switzerland,32,1998,thousand metric tons
Tajikistan,196,1998,thousand metric tons
Turkey,62,1998,thousand metric tons
Ukraine,107,1998,thousand metric tons
United Arab Emirates,352,1998,thousand metric tons
United Kingdom,258,1998,thousand metric tons
USA,3713,1998,thousand metric tons
Venezuela,585,1998,thousand metric tons
